,HYLAN BL/ALLENDALE RD,TOMPKINS AV/ST MARYS AV,HYLAN BL/LITTLEFIELD AV,MAIN ST/AMBOY RD,VAN DUZER ST/BEACH ST,BEACH ST/UNION PL,HYLAN BL/MIDLAND AV,HYLAN BL/ARDEN AV,ST GEORGE FERRY/ST GEORGE FERRY,HYLAN BL/BUFFALO ST,HYLAN BL/W FINGERBOARD RD,HYLAN BL/BIONIA AV,STEUBEN ST/NARROWS RD S,AMBOY RD/MAIN ST,HYLAN BL/SEAVER AV,HYLAN BL/BURBANK AV,HYLAN BL/BAY TER,VAN DUZER ST/BALTIC ST,ST PAULS AV/CEBRA AV,ST PAULS AV/VAN DUZER ST,TOMPKINS AV/HILL ST,ARTHUR KILL RD/BARNARD AV,VICTORY BL/BAY ST,HYLAN BL/MONTREAL AV,MAIN ST/HYLAN BL,HYLAN BL/BENTON AV,ST GEORGE FERRY TERMINAL,HYLAN BL/CRAIG AV,HYLAN BL/ADAMS AV,OLGA PL/HYLAN BL,HYLAN BL/LINWOOD AV,BAY ST/HANNAH ST,HYLAN BL/HUGUENOT AV,CLOVE RD/ELBE AV,HYLAN BL/GOODALL ST,HYLAN BL/REDGRAVE AV,HYLAN BL/QUINTARD ST,HYLAN BL/OLD TOWN RD,HYLAN BL/PARKINSON AV,HYLAN BL/CANNON BL,HYLAN BL/SAND LA,HYLAN BL/CURRIE AV,HYLAN BL/LINCOLN AV,BAY ST/BOROUGH PL,HYLAN BL/KENNY RD,CLOVE RD/BRITTON AV,ARTHUR KILL RD/ALLENTOWN LA,HYLAN BL/EBBITTS ST,HYLAN BL/HALES AV,HYLAN BL/STERLING AV,HYLAN BL/GREAT KILLS RD,HYLAN BL/FINGERBOARD RD,HYLAN BL/OAK AV,HYLAN BL/JACQUES AV,HYLAN BL/PIEDMONT AV,HYLAN BL/BARCLAY AV,TOMPKINS AV/BROAD ST,BAY ST/SLOSSON TER,CLOVE RD/RHINE AV,BRICKTOWN SHOPPING CENTER,ARTHUR KILL RD/YETMAN AV,HYLAN BL/TOMPKINS AV,HYLAN BL/CUNNINGHAM RD,AMBOY RD/CARTERET ST,SAND LA/HYLAN BL,HYLAN BL/HILLSIDE TER,HYLAN BL/OTIS AV,HYLAN BL/ROSE AV,HYLAN BL / NARROWS RD S,NEW DORP LA/MILL RD,HYLAN BL/WINCHESTER AV,MAIN ST/CRAIG AV,HYLAN BL/BEACH AV,HYLAN BL/SPRAGUE AV,ARTHUR KILL RD/S BRIDGE ST,HYLAN BL/BROOK AV,MIDLAND AV/BOUNDARY AV,HYLAN BL/GUYON AV,HYLAN BL/REID AV,HYLAN BL/NORWAY AV,HYLAN BL/FIELDWAY AV,HYLAN BL/WOODS OF ARDEN RD,HYLAN BL/BURGHER AV,HYLAN BL/BRIGHTON ST,HYLAN BL/HOLDRIDGE AV,HYLAN BL/SPRATT AV,HYLAN BL/BAY VIEW AV,HYLAN BL/DELAWARE AV,HYLAN BL/NELSON AV,BEACH ST/VAN DUZER ST,HYLAN BL/DONLEY AV,HYLAN BL/INEZ ST,HYLAN BL/RICHMOND AV,CANAL ST/WRIGHT ST,HYLAN BL/CROMWELL AV,TOMPKINS AV/TOWNSEND AV,CLOVE RD/GRASMERE STATION,HYLAN BL/DOLE ST,HYLAN BL/JUSTIN AV,HYLAN BL/WOODVALE AV,HYLAN BL/LIBERTY AV,ARTHUR KILL RD/FISHER AV,TOMPKINS AV/VANDERBILT AV,HYLAN BL/STEUBEN ST,LUTEN AV/EYLANDT ST,BAY ST/NICK LAPORTE PL,VAN DUZER ST/GRANT ST,HYLAN BL/CHAMPLAIN AV,ARTHUR KILL RD/WOOD AV,CLOVE RD/TARGEE ST,HYLAN BL/VAUGHN ST,HYLAN BL/TYSENS LA,HYLAN BL/KRAMER ST,HYLAN BL/ARMSTRONG AV,HYLAN BL/RENO AV,HYLAN BL/YETMAN AV,TOMPKINS AV/SAINT MARYS AV,HYLAN BL/ROSS AV,HYLAN BL/NAUGHTON AV,ST PAULS AV/PAXTON ST,MILFORD DR/OCEAN TER,HYLAN BL/LUTEN AV,HYLAN BL/COOPER AV,ARTHUR KILL RD/NASSAU PL,CANAL ST/CANAL ST,HYLAN BL/WENDY DR,HYLAN BL/BANCROFT AV,HYLAN BL/SHARROTT AV,EYLANDT ST/LUTEN AV,HYLAN BL/CHELSEA ST,HYLAN BL/CONNECTICUT AV,HYLAN BL/CORNELIA AV,HYLAN BL/CLOVE RD,HYLAN BL/BUEL AV,HYLAN BL/BEDELL AV,HYLAN BL/JOLINE AV,CLOVE RD/MILFORD DR,CRAIG AV/AMBOY RD,CLOVE RD/W FINGERBOARD RD,HYLAN BL/BAY TERRACE,HYLAN BL/SEGUINE AV,BRICKTOWN SHOPPING/CENTER,HYLAN BL/ELMTREE AV,OLGA PL/POUCH TER,ST PAULS AV/SWAN ST,HYLAN BL/BAYVIEW AV,HYLAN BL/EVERGREEN AV,BAY ST/VICTORY BL,CLOVE RD/NECKAR AV,HYLAN BL/CHESTERTON AV,HYLAN BL/NEW DORP LA,HYLAN BL/CARTERET ST,HYLAN BL/HAMDEN AV,HYLAN BL/KEEGANS LA,HYLAN BL/OSBORNE AV,HYLAN BL/ARBUTUS AV,ARTHUR KILL RD/RICHMOND VALLEY RD,HYLAN BL/POILLON AV,HYLAN BL/RICHARD AV,ARTHUR KILL RD/MAIN ST,HYLAN BL/LAMPORT BL,TOMPKINS AV/CHESTNUT AV,HYLAN BL/REYNOLDS ST,HYLAN BL/SEAVIEW AV,HYLAN BL/JEFFERSON AV,BAY ST/CENTRAL AV,HYLAN BL/LINDBERGH AV,HYLAN BL/PACIFIC AV,HYLAN BL/PAGE AV,HYLAN BL/LIPSETT AV,Charleston Depot (CH)
AMBOY RD/MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.769 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/SEAVER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.637 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29 BRICKTOWN MALL via HYLAN,,,,,,
HYLAN BL/BURBANK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.721 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,
HYLAN BL/BAY TER,,,,,,,,,,,,,,,,,0.0 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,2.468 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN DUZER ST/BALTIC ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST PAULS AV/CEBRA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST PAULS AV/VAN DUZER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.315 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,
TOMPKINS AV/HILL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/BARNARD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.472 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/BAY ST,,,,,,,,,,,,,,,,,,,,1.564 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/MONTREAL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.312 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN ST/HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/BENTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/CRAIG AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.555 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/ADAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,0.131 ST GEORGE FERRY via HYLAN,,,,,,
OLGA PL/HYLAN BL,,,,,,,,,,,,,0.219 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/LINWOOD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/HANNAH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/HUGUENOT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.652 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.572 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,
CLOVE RD/ELBE AV,,,,,,,,,,,1.541 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/GOODALL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.337 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/REDGRAVE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.343 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,0.808 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,
HYLAN BL/QUINTARD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/OLD TOWN RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
