,JAMAICA AV/LINWOOD ST,JAMAICA AV/132 ST,JAMAICA AV/165 ST,JAMAICA AV/102 ST,JAMAICA AV/GEORGIA AV,JAMAICA AV/ELDERT LA,JAMAICA AV/EUCLID AV,JAMAICA AV/138 ST,JAMAICA AV/DEXTER CT,JAMAICA AV/MARGINAL ST E,JAMAICA AV/FOREST PY,JAMAICA AV/162 ST,JAMAICA AV/94 ST,JAMAICA AV/112 ST,JAMAICA AV/124 ST,JAMAICA AV/SHEPHERD AV,170 ST/JAMAICA AV,JAMAICA AV/NICHOLS AV,JAMAICA AV/121 ST,JAMAICA AV/127 ST,JAMAICA AV/HALE AV,JAMAICA AV/144 ST,JAMAICA AV/116 ST,JAMAICA AV/130 ST,JAMAICA AV/89 ST,JAMAICA AV/WARWICK ST,JAMAICA AV/106 ST,JAMAICA AV/146 ST,VAN SINDEREN AV/FULTON ST,JAMAICA AV/BARBEY ST,JAMAICA AV/SCHENCK AV,JAMAICA AV/PARSONS BL,JAMAICA AV/122 ST,JAMAICA AV/168 ST,JAMAICA AV/115 ST,JAMAICA AV/PENNSYLVANIA AV,JAMAICA AV/107 ST,JAMAICA AV/CLEVELAND ST,JAMAICA AV/110 ST,JAMAICA AV/VAN WYCK EP,JAMAICA AVE / QUEENS BLVD,JAMAICA AV/JEROME ST,JAMAICA AV/117 ST,JAMAICA AV/LEFFERTS BL,JAMAICA AV/104 ST,JAMAICA AV/VAN SICLEN AV,JAMAICA AV/109 ST,JAMAICA AV/HENDRIX ST,JAMAICA AV/108 ST,JAMAICA AV/MILLER AV,JAMAICA AV/160 ST,JAMAICA AV/METROPOLITAN AV,JAMAICA AV/GUY R BREWER BL,JAMAICA AV/ELTON ST,JAMAICA AV/118 ST,JAMAICA AV/86 ST,JAMAICA AV/LINCOLN AV,JAMAICA AV/90 ST,JAMAICA AV/AUTUMN AV,JAMAICA AV/126 ST,JAMAICA AV/170 ST,JAMAICA AV/75 ST,JAMAICA AV/80 ST,JAMAICA AV/98 ST,JAMAICA AV/WYONA ST,JAMAICA AV/78 ST,JAMAICA AV/111 ST,JAMAICA AV/76 ST,JAMAICA AV/139 ST,JAMAICA AV/BRADFORD ST,JAMAICA AV/WOODHAVEN BL WEST,JAMAICA AV/114 ST,JAMAICA AV/150 ST,JAMAICA AV/87 ST,JAMAICA AV/LOGAN ST,JAMAICA AV/168 PL,JAMAICA AV/85 ST,JAMAICA AV/HEMLOCK ST,JAMAICA AV/88 ST,JAMAICA AV/CRESCENT ST,JAMAICA AV/HIGHLAND BL,JAMAICA AV/NORWOOD AV,JAMAICA AV/HERKIMER ST,JAMAICA AV/96 ST,JAMAICA AV/147 PL,JAMAICA AV/CYPRESS HILLS ST,JAMAICA AV/113 ST,JAMAICA AV/WOODHAVEN BL,JAMAICA AV/77 ST,JAMAICA AV/134 ST,JAMAICA AV/RICHMOND ST,JAMAICA AV/FANCHON PL,JAMAICA AV/144 PL,College Point Depot (CP)
JAMAICA AV/111 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 JAMAICA 170 ST via JAMAICA AV,,,,,,,
JAMAICA AV/76 ST,,,,,,,,,0.104 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/139 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178 JAMAICA 170 ST via JAMAICA AV,
JAMAICA AV/BRADFORD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/WOODHAVEN BL WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/114 ST,,,,,,,,,,,,,,0.164 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/150 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.395 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,0.436 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/87 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.142 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/LOGAN ST,,,,,,,0.365 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/168 PL,,,0.33 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/85 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/HEMLOCK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,0.125 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,
JAMAICA AV/88 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/CRESCENT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125 JAMAICA 170 ST via JAMAICA AV,,,,,,,,0.158 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,
JAMAICA AV/HIGHLAND BL,0.139 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/NORWOOD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,
JAMAICA AV/HERKIMER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.366 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/96 ST,,,,,,,,,,,,,0.17 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/147 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/CYPRESS HILLS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,
JAMAICA AV/113 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/WOODHAVEN BL,,,,,,,,,,,,,0.139 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/77 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/134 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/RICHMOND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,
JAMAICA AV/FANCHON PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,
JAMAICA AV/144 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.651 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,
College Point Depot (CP),,,,,,,,9.006 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
