,MC CLEAN AV/SAND LA,CLOVE RD/CLOVE LAKE PARK,CLOVE RD/NIAGARA ST,RICHMOND TER/PARK AV #1,CLOVE RD/TIOGA ST,NARROWS RD N/RICHMOND RD,CLOVE RD/GRASMERE STATION,CASTLETON AV/HEBERTON AV,86 ST/FT HAMILTON PY,BROADWAY/COUGHLIN AV,NARROWS RD N/RHINE AV,PORT RICHMOND AV/HARRISON AV,CASTLETON AV/CLOVE RD,RICHMOND TER/PARK AV,BROADWAY/FOREST AV,BROADWAY/CLOVE RD,BROADWAY/DELAFIELD AV,PORT RICHMOND AV/ANN ST,PORT RICHMOND AV/BENNETT ST,CLOVE RD/VAN CORTLANDT AV,4 AV/90 ST,MC CLEAN AV/OCEAN AV,HYLAN BL/LINWOOD AV,HYLAN BL/CLOVE RD,BROADWAY/CASTLETON AV,BROADWAY/COLONIAL CT,BROADWAY/W RALEIGH AV,CLOVE RD/LITTLE CLOVE RD,CLOVE RD/BEVERLY AV,CLOVE RD/MOSEL AV,CLOVE RD/W FINGERBOARD RD,HYLAN BL/ALLENDALE RD,SAND LA/HYLAN BL,86 ST/5 AV,92 ST/GATLING PL,92 ST/FT HAMILTON PY,HYLAN BL/LAMPORT BL,CLOVE RD/SCHOHARIE ST,BROADWAY/E RALEIGH AV,CASTLETON AV/JEWETT AV,CLOVE RD/MILFORD DR,CLOVE RD/NECKAR AV,LILY POND AV/MAJOR AV,SAND LA/MCCLEAN AV,CLOVE RD/BRITTON AV,MC CLEAN AV/MILLS AV,4 AV/86 ST,MC CLEAN AV/CONGER ST,CASTLETON AV/TAYLOR ST,CASTLETON AV/CAROLINE ST,HYLAN BL/SAND LA,CLOVE RD/CHESHIRE PL,CLOVE RD/FOOTE AV,CLOVE RD/HOWARD AV,CLOVE RD/ST PETERS CEM ENT,CLOVE RD/BEMENT AV,CLOVE RD/TARGEE ST,HYLAN BL/NORWAY AV,HYLAN BL/BIONIA AV,CLOVE RD/ELBE AV,MC CLEAN AV/LILY POND AV,CASTLETON AV/BROADWAY,MC CLEAN AV/RAILROAD AV,HYLAN BL/STEUBEN ST,CLOVE RD/VICTORY BL,BROADWAY/CARY AV,CLOVE RD/RHINE AV,HYLAN BL/KRAMER ST,CASTLETON AV/ELIZABETH ST,CASTLETON AV/BARKER ST,HYLAN BL/W FINGERBOARD RD,LILY POND AV/MC CLEAN AV,Yukon Depot (YU)
PORT RICHMOND AV/ANN ST,,,,,,,,,,,,0.273 BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/BENNETT ST,,,,5.755 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOVE RD/VAN CORTLANDT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 PORT RICHMOND,,,,,,,,
4 AV/90 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.486 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC CLEAN AV/OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095 BAY RIDGE 86 ST STATION,
HYLAN BL/LINWOOD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/CLOVE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.442 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/CASTLETON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/COLONIAL CT,,,,,,,,,,,,,,,,0.3 BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,,,0.189 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W RALEIGH AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.134 BAY RIDGE 86 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOVE RD/LITTLE CLOVE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313 PORT RICHMOND,,,,,,,,,,,,,,,,,,,
