,RICHMOND RD/MC CULLY AV,WOODROW RD/WINANT AV,RICHMOND RD/MARK ST,WOODROW RD/LENEVAR AVE,WOODROW RD/HELIOS PL,TARGEE ST/SOBEL CT,BLOOMINGDALE RD/OPP KRAMER AV,RICHMOND RD/MIDLAND AV,ROSSVILLE AV/POND ST,RICHMOND RD/SPRING ST,RICHMOND RD/BISHOP ST,ARTHUR KILL RD/TELEPHONE CO,RICHMOND RD/TARGEE ST,BAY ST/BOROUGH PL,ARTHUR KILL RD/ELLIS PL,ARTHUR KILL RD/ENGLEWOOD AV,RICHMOND RD/HITCHCOCK AV,RICHMOND RD/HUNTON ST,VAN DUZER ST/BALTIC ST,BLOOMINGDALE RD/CORRELL AV,TARGEE ST/VANDERBILT AV,BRICKTOWN SHOPPING CENTER,TARGEE ST/YOUNG ST,ARTHUR KILL RD/ELVERTON AV,RICHMOND RD/ENFIELD PL,ARTHUR KILL RD/CLAY PIT RD,TARGEE ST/OSGOOD AV,ST GEORGE FERRY/ST GEORGE FERRY,RICHMOND RD/ST PATRICKS PL,ARTHUR KILL RD/JOHNSON ST,ARTHUR KILL RD/CORBIN AV,BAY ST/SANDS ST,ARTHUR KILL RD/UNITED HEB CEM,ARTHUR KILL RD/ANNADALE RD,RICHMOND RD/BARTON AV,ARTHUR KILL RD/CROSSFIELD AV,RICHMOND RD/TODT HILL RD,ARTHUR KILL RD/BLOOMINGDALE RD,ARTHUR KILL RD/ELLIS RD,BLOOMINGDALE RD/OPP SHIEL AV,BAY ST/VICTORY BL,RICHMOND RD/DELLWOOD RD,RICHMOND RD/BANCROFT AV,VAN DUZER ST/ROFF ST,ROSSVILLE AV/CORRELL AV,BAY ST/WILLIAM ST,ARTHUR KILL RD/OPP ASPEN KNOLLS,TARGEE ST/BROAD ST,RICHMOND RD/EDGAR PL,BAY ST/GRANT ST,ARTHUR KILL RD/WINANT PL,ARTHUR KILL RD/1547 ARTHUR KILL RD,RICHMOND RD/BURGHER AV,RICHMOND RD/NARROWS RD S,ARTHUR KILL RD/KREISCHER ST,ST GEORGE FERRY /ST GEORGE FERRY,RICHMOND RD/LIGHTHOUSE AV,RICHMOND RD/MCKINLEY AV,RICHMOND RD/RARITAN AV,TARGEE ST/PALMA DR,RICHMOND RD/HULL AV,ARTHUR KILL RD/STORER AV,BAY ST/PROSPECT ST,RICHMOND RD/FOUR CORNERS RD,ROSSVILLE AV/SELKIRK ST,RICHMOND RD/SUMMIT AV,RICHMOND RD/OLD TOWN RD,BROAD ST/CEDAR ST,VAN DUZER ST/VANDERBILT AV,ARTHUR KILL RD /CORRECTIONAL FACILITY,RICHMOND RD/ALTAMONT ST,ARTHUR KILL RD/ARMSTRONG AV,RICHMOND RD/BEACON AV,ARTHUR KILL RD/ST JOHN NEWMANN,VAN DUZER ST/BROAD ST,TARGEE ST/DOCTORS HOSPITAL,CANAL ST/WRIGHT ST,BAY ST/NICK LAPORTE PL,ROSSVILLE AV/VETERANS RD E,BAY ST/SLOSSON TER,TARGEE ST/BALTIC AV,VAN DUZER ST/OAKLAND TER,RICHMOND RD/ROCKLAND AV,ST GEORGE FERRY/S74 & S84,ROSSVILLE AV/WOOD CT,RICHMOND RD/LONGVIEW RD,ARTHUR KILL RD/NEWVALE AV,RICHMOND RD/ANDREWS AV,BLOOMINGDALE RD/KRAMER AV,RICHMOND RD/LOCUST AV,ARTHUR KILL RD/LADD AV,TARGEE ST/STEUBEN ST,ROSSVILLE AV/OPP CORRELL AV,VAN DUZER ST/YOUNG ST,ARTHUR KILL RD/ARDEN AV,ARTHUR KILL RD/ANDROVETTE ST,ARTHUR KILL RD/RIDGEWOOD AV,ARTHUR KILL RD/GREAVES AV,VAN DUZER ST/GRANT ST,ROSSVILLE AV/VETERANS RD W,TARGEE ST/CLOVE RD,RICHMOND RD/HUNTER AV,ARTHUR KILL RD/CARLYLE GREEN,ARTHUR KILL RD/WOODROW RD,RICHMOND RD/DOUGLAS RD,ARTHUR KILL RD/WEST SERVICE RD,ARTHUR KILL RD/GIFFORDS LA,ARTHUR KILL RD/ARDEN HGHTS SHOP,BAY ST/VAN DUZER EXT,BLOOMINGDALE RD/VETERANS RD E,RICHMOND RD/GREELEY AV,ARTHUR KILL RD/1297 ARTHUR KILL RD,TARGEE ST/W FINGERBOARD RD,RICHMOND RD/SEAVIEW AV,TARGEE ST/DE KALB ST,ARTHUR KILL RD/MILES AV,ARTHUR KILL RD E/VETERANS RD E,RICHMOND RD/WILDER AV,ARTHUR KILL RD/FRANKLIN LA,RICHMOND RD/DONGAN HILLS AV,BRICKTOWN SHOPPING/CENTER,ARTHUR KILL RD/CEMETERY 1 GATE,ARTHUR KILL RD/CHARLESTON DEPOT,ARTHUR KILL RD/CARLYLE GRN,RICHMOND RD/DE KALB ST,ARTHUR KILL RD/SHARROTTS RD,ARTHUR KILL RD/CORRECTIONAL FACILITY RD,RICHMOND RD/ALTOONA AV,ARTHUR KILL RD/VETERANS RD W,BROAD ST/GORDON ST,ARTHUR KILL RD/VETERANS RD E,RICHMOND RD/NEW DORP LA,ROSSVILLE AV/BARRY  ST,TARGEE ST/ROFF ST,ROSSVILLE AV/MASON BL,VAN DUZER ST/BARING PL,RICHMOND RD/SPRUCE ST,ARTHUR KILL RD/COLON AV,RICHMOND RD/ROSE AV,RICHMOND RD/BUEL AV,RICHMOND RD/ROME AV,ARTHUR KILL RD/BROOKFIELD AV,ELTINGVILLE/TRANSIT CENTER,VAN DUZER ST/HILLSIDE AV,ARTHUR KILL RD/CENTER ST,VAN DUZER ST/BEACH ST,BROAD ST/TOMPKINS AV,RICHMOND RD/SEAVER AV,RICHMOND RD/LINCOLN AV,BAY ST/HANNAH ST,ARTHUR KILL RD/1666 ARTHUR KILL RD,RICHMOND RD/STEELE AV,ROSSVILLE AV/WOODROW RD,TARGEE ST/ROME AV,Charleston Depot (CH)
ARTHUR KILL RD/ENGLEWOOD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.357 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/HITCHCOCK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.331 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/HUNTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN DUZER ST/BALTIC ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/CORRELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.853 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGEE ST/VANDERBILT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,
BRICKTOWN SHOPPING CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGEE ST/YOUNG ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/ELVERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,
RICHMOND RD/ENFIELD PL,0.421 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/CLAY PIT RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.628 ST GEORGE FERRY,,,,,,,,,0.171 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGEE ST/OSGOOD AV,,,,,,,,,,,,,,,,,,,,,,,0.222 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY/ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/ST PATRICKS PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,
ARTHUR KILL RD/JOHNSON ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.628 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.456 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/CORBIN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/SANDS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/UNITED HEB CEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 ST GEORGE FERRY,,,,,,,,,,
ARTHUR KILL RD/ANNADALE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/BARTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/CROSSFIELD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.964 ST GEORGE FERRY,,,,,,,,,,,,
RICHMOND RD/TODT HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/BLOOMINGDALE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.496 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.466 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/ELLIS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/OPP SHIEL AV,,,,,,,0.279 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
