,BROADWAY/MADISON ST,ATLANTIC AV/SCHENCK AV,JAMAICA AV/PARSONS BL,ATLANTIC AV/77 ST,BROADWAY/GATES AV,ATLANTIC AV/VAN SICLEN AV,ARCHER AV/GUY R BREWER BL,BROADWAY/ABERDEEN ST,ATLANTIC AV/LINWOOD ST,BROADWAY/EASTERN PY,ATLANTIC AV/108 ST,ATLANTIC AV/CLEVELAND ST,VAN SINDEREN AV/FULTON ST,ATLANTIC AV/BRADFORD ST,ATLANTIC AV/GRANT AV,ATLANTIC AV/121 ST,BROADWAY/QUINCY ST,ATLANTIC AV/WOODHAVEN BL,ATLANTIC AV/74 PL,BROADWAY/HULL ST,ATLANTIC AV/75 ST,BROADWAY/MAC DONOUGH ST,ATLANTIC AV/MILFORD ST,JAMAICA AV/BROADWAY,ATLANTIC AV/92 ST,ATLANTIC AV/124 ST,ATLANTIC AV/CHESTNUT ST,ATLANTIC AV/LOGAN ST,ATLANTIC AV/PENNSYLVANIA AV,ATLANTIC AV/78 ST,VAN WYCK EP SR W/89 AV,ATLANTIC AV/82 PL,ATLANTIC AV/132 ST,JAMAICA AV/162 ST,ATLANTIC AV/SHERIDAN AV,ATLANTIC AV/88 ST,BROADWAY/ROCKAWAY AV,ATLANTIC AV/117 ST,ATLANTIC AV/133 ST,VAN SINDEREN AV/BROADWAY,JAMAICA AV/SUTPHIN BL,ATLANTIC AV/84 ST,ATLANTIC AV/82 ST,ATLANTIC AV/104 ST,ARCHER AV/VAN WYCK EP SR E,JAMAICA AV/150 ST,ATLANTIC AV/130 ST,ATLANTIC AV/106 ST,ATLANTIC AV/LEFFERTS BL,ATLANTIC AV/85 ST,BROADWAY/GRANITE ST,ATLANTIC AV/VERMONT ST,ATLANTIC AV/80 ST,ATLANTIC AV/HENDRIX ST,ATLANTIC AV/VAN WYCK EXP W,VAN WYCK EP SR W/91 AV,BROADWAY/VAN SIDEREN AV,ATLANTIC AV/134 ST,ARCHER AV/PARSONS BL,ATLANTIC AV/SHEPHERD AV,BROADWAY/ELDERT ST,JAMAICA AV/FANCHON PL,ARCHER AV/158 ST,ATLANTIC AV/EUCLID AV,ATLANTIC AV/ELTON ST,BROADWAY/HALSEY ST,ATLANTIC AV/WARWICK ST,BROADWAY/SCHAEFFER ST,ARCHER AV/143 ST,JAMAICA AV/165 ST,ATLANTIC AV/114 ST,BROADWAY/GROVE ST,ATLANTIC AV/NEW JERSEY AV,ATLANTIC AV/111 ST,ARCHER AV/149 ST,ARCHER AV/MERRICK BL,ATLANTIC AV/96 ST,JAMAICA AV/GEORGIA AV,BROADWAY/COOPER ST,ATLANTIC AV/HALE AV,ATLANTIC AV/102 ST,ATLANTIC AV/BERRIMAN ST,ATLANTIC AV/WYONA ST,ATLANTIC AV/100 ST,BROADWAY/CHAUNCEY ST,ATLANTIC AV/127 ST,ATLANTIC AV/ESSEX ST,BROADWAY/JEFFERSON AV,ATLANTIC AV/CRESCENT ST,BROADWAY/GREENE AV,ATLANTIC AV/LINCOLN AV,JAMAICA AV/144 ST,PATCHEN AV/LAFAYETTE AV,ATLANTIC AV/86 ST,ATLANTIC AV/BARBEY ST,VAN WYCK EP SR W/JAMAICA AV,ARCHER AV/SUTPHIN BL,BROADWAY/LAFAYETTE AV,ATLANTIC AV/90 ST,ATLANTIC AV/AUTUMN AV,JAMAICA AVE / QUEENS BLVD,ATLANTIC AV/ELDERT LA,ATLANTIC AV/MILLER AV,ATLANTIC AV/76 ST,College Point Depot (CP)
BROADWAY/SCHAEFFER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHER AV/143 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267 JAMAICA 168 ST via ATLANTIC,,,,,,,,
JAMAICA AV/165 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/114 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.602 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/GROVE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,
ATLANTIC AV/NEW JERSEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/111 ST,,,,,,,,,,,0.26 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHER AV/149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHER AV/MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/96 ST,,,,,,,,,,,,,,,,,,0.164 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/GEORGIA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/COOPER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/HALE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.099 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/102 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.674 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/BERRIMAN ST,,,,,,,,,,,,,,,,,,,,,,,0.238 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/WYONA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/100 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,0.125 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/CHAUNCEY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.265 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,0.378 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/ESSEX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/JEFFERSON AV,0.236 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/CRESCENT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 JAMAICA 168 ST via ATLANTIC,,,,,
BROADWAY/GREENE AV,,,,,,,,,,,,,,,,,0.252 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,
ATLANTIC AV/LINCOLN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.395 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,
JAMAICA AV/144 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,
PATCHEN AV/LAFAYETTE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105 JAMAICA 168 ST via ATLANTIC,,,,,,,
ATLANTIC AV/86 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/BARBEY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.449 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN WYCK EP SR W/JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHER AV/SUTPHIN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/LAFAYETTE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,
ATLANTIC AV/90 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.117 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,1.039 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/AUTUMN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.823 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AVE / QUEENS BLVD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,
ATLANTIC AV/ELDERT LA,,,,,,,,,,,,,,,,,,,,,0.193 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/MILLER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/76 ST,,,,,,,,,,,,,,,,,,,0.199 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Point Depot (CP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.847 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
