,3 AV/44 ST,3 AV/94 ST,3 AV/54 ST,3 AV/DE GRAW ST,3 AV/BAY RIDGE PY,3 AV/25 ST,3 AV/42 ST,3 AV/BALTIC ST,3 AV/29 ST,3 AV/90 ST,ATLANTIC AV/4 AV,3 AV/WARREN ST,3 AV/58 ST,3 AV/78 ST,3 AV/8 ST,4 AV/99 ST,3 AV/86 ST,3 AV/47 ST,3 AV/52 ST,3 AV/61 ST,3 AV/77 ST,3 AV/65 ST,3 AV/80 ST,3 AV/82 ST,3 AV/3 ST,3 AV/30 ST,3 AV/92 ST,3 AV/95 ST,3 AV/21 ST,3 AV/33 ST,3 AV/56 ST,3 AV/39 ST,4 AV/DEAN ST,3 AV/97 ST,3 AV/88 ST,SHORE RD/4 AV,3 AV/72 ST,3 AV/CARROLL ST,3 AV/60 ST,3 AV/46 ST,3 AV/26 ST,3 AV/34 ST,3 AV/BUTLER ST,4 AV/100 ST,3 AV/14 ST,3 AV/6 ST,3 AV/53 ST,3 AV/BERGEN ST,3 AV/23 ST,3 AV/DOUGLASS ST,3 AV/BAY RIDGE AV,3 AV/43 ST,3 AV/37 ST,3 AV/49 ST,3 AV/89 ST,3 AV/20 ST,3 AV/12 ST,3 AV/41 ST,3 AV/50 ST,3 AV/10 ST,3 AV/MARINE AV,3 AV/SENATOR ST,3 AV/15 ST,3 AV/83 ST,3 AV/UNION ST,Jackie Gleason Depot (JG)
3 AV/80 ST,,,,,,,,,,,,,,0.17 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 BAY RIDGE SHORE RD via 3 AV,,
3 AV/82 ST,,,,,,,,,,,,,,,,,,,,,,,0.213 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/3 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,0.536 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,,,,,,,,
3 AV/30 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/92 ST,,,,,,,,,,0.127 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,,,,0.333 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/95 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/21 ST,,,,,,0.322 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/33 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.377 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,
3 AV/56 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,,,,,
3 AV/39 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.723 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,0.178 BAY RIDGE SHORE RD via 3 AV,,,,,,,,
