,SPRINGFIELD BL/94 DR,73 AV/195 ST,SPRINGFIELD BL / 94 AV,HORACE HARDING EXP/175 PL,SPRINGFIELD BL/UNION TP,AMBOY LA/SPRINGFIELD BL,73 AV/CLEARVIEW EXP,HORACE HARDING EXP/185 ST,73 AV/197 ST,73 AV/HOLLIS HILLS TERR,73 AV/BELL BL,SPRINGFIELD BL/HILLSIDE AV,HORACE HARDING EXP/64 AV,HORACE HARDING EXP/YELLOWSTONE BL,HORACE HARDING EXP/PARSONS BL,HORACE HARDING EXP/172 ST,HORACE HARDING EXP/MAIN ST,92 ST/59 AV,73 AV/SPRINGFIELD BL,HORACE HARDING EXP/166 ST,73 AV/218 ST,HORACE HARDING EXP/156 ST,94 ST/58 AV,HORACE HARDING EXP/183 ST,73 AV/213 ST,73 AV/193 ST,SPRINGFIELD BL/76 AV,SPRINGFIELD BL/GRAND CENTRAL PKWY,73 AV/194 ST,HORACE HARDING EXP/97 ST,HORACE HARDING EXP/153 ST,SPRINGFIELD BL/77 AV,SPRINGFIELD BL/90 AV,188 ST/64 AV,SPRINGFIELD BL/KINGSBURY AV,73 AV/210 ST,73 AV/192 ST,HORACE HARDING EXP/99 ST,HORACE HARDING EXP/150 ST,HORACE HARDING EXP/170 ST,SPRINGFIELD BL/91 AV,188 ST/HORACE HARDING EXP,HORACE HARDING EXP/OTIS AV,188 ST/186 LA #2,SPRINGFIELD BL/94 AV,HORACE HARDING EXP/UTOPIA PY,HORACE HARDING EXP/JUNCTION BL,HORACE HARDING EXP/98 ST,188 ST/HORACE HARDING EP,HORACE HARDING EXP/136 ST,SPRINGFIELD BL/JAMAICA AV,HORACE HARDING EXP/KISSENA BL,188 ST/186 LA #1,73 AV/220 ST,HORACE HARDING EXP/146 ST,HORACE HARDING EXP/188 ST,HORACE HARDING EXP/WALDRON ST,SPRINGFIELD BL/SAWYER AV,HORACE HARDING EXP/FRESH MEADOW LA,73 AV/198 ST,HORACE HARDING EXP/108 ST,HORACE HARDING EXP /JUNCTION BL,HORACE HARDING EXP/134 ST,HORACE HARDING EXP/160 ST,SPRINGFIELD BL/223 ST,SPRINGFIELD BL/89 AV,HORACE HARDING EXP/186 ST,AMBOY LA/JAMAICA AV,HORACE HARDING EXP/WESTSIDE AV,JUNCTION BL/59 AV,73 AV/199 ST,HORACE HARDING EXP/LAWRENCE ST,SPRINGFIELD BL/92 AV,HORACE HARDING EXP/102 ST,SPRINGFIELD BL/93 AV,HORACE HARDING EXP/162 ST,HORACE HARDING EXP/168 ST,HORACE HARDING EXP/148 ST,73 AV/189 ST,HORACE HARDING EXP/164 ST,73 AV/190 ST,HORACE HARDING EXP/REEVES AV,73 AV/196 ST,73 AV/FRANCIS LEWIS BL,SPRINGFIELD BL/75 AV,HORACE HARDING EXP/138 ST,HORACE HARDING EXP/COLLEGE PT BL,188 ST/69 AV,College Point Depot (CP)
HORACE HARDING EXP/148 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.769 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,0.0 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73 AV/189 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/164 ST,,,,,,,,,,,,,,,,,,,,0.204 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,
73 AV/190 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417 WOODHVN BL STA QNS CTR MALL via H.HRDNG,
HORACE HARDING EXP/REEVES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73 AV/196 ST,,,,,,,,,0.192 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73 AV/FRANCIS LEWIS BL,,,,,,,,,,0.447 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/75 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/138 ST,,,,,,,,,,,,,,,,,0.196 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/COLLEGE PT BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,0.498 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,5.735 to depot of Q88
188 ST/69 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.744 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Point Depot (CP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.994 QUEENS VILLAGE JAMAICA AV,,
