,HORACE HARDING EXP/186 ST,HORACE HARDING EXP/164 ST,HILLSIDE AV/187 ST,KISSENA BL/58 AV,HILLSIDE AV/AVON ST,KISSENA BL/CHERRY AV,HORACE HARDING EXP/168 ST,KISSENA BL/ELDER AV,HORACE HARDING EXP/PARSONS BL,KISSENA BL/MAPLE AV,HORACE HARDING EXP/188 ST,HILLSIDE AV/179 ST SUBWAY,MERRICK BL/JAMAICA AVE,188 ST/GRAND CENTRAL PY,168 ST/89 AV,188 ST/186 LA #1,KISSENA BL/POPLAR AV,HORACE HARDING EXP/175 PL,HORACE HARDING EXP/172 ST,HORACE HARDING EXP/185 ST,KISSENA BL/MULBERRY AV,HORACE HARDING EXP/UTOPIA PY,HILLSIDE AV/178 ST,HORACE HARDING EXP/160 ST,188 ST/WEXFORD TER,188 ST/64 AV,HORACE HARDING EXP/156 ST,KISSENA BL/ASH AV,HILLSIDE AV/175 ST,188 ST/87 DR,HORACE HARDING EXP/162 ST,188 ST/HENLEY RD,188 ST/PERTH RD,188 ST/MIDLAND PY,HILLSIDE AV/EDGERTON BL,KISSENA BL/NEGUNDO AV,KISSENA BL/45 AV,KISSENA BL/OAK AV,168 ST/HILLSIDE AV,KISSENA BL/BOOTH MEMORIAL,188 ST/MCLAUGHLIN AV,188 ST/SOHO DR,188 ST/81 AV,HILLSIDE AV/184 ST,MAIN ST/ROOSEVELT AV,HORACE HARDING EXP/170 ST,HORACE HARDING EXP/183 ST,HILLSIDE AV/182 PL,188 ST/73 AV,MERRICK BL/90 AV,168 ST/JAMAICA AV,HILLSIDE AV/171 ST,KISSENA BL/MAIN ST,138 ST/37 AV,188 ST/HORACE HARDING EXP,188 ST/80 RD,HILLSIDE AV/172 ST,188 ST/186 LA #2,188 ST/UNION TP,HORACE HARDING EXP/166 ST,188 ST/69 AV,HORACE HARDING EXP/FRESH MEADOW LA,188 ST/AVON RD,KISSENA BL/BEECH AV,MERRICK BL/JAMAICA AV,KISSENA BL/FRANKLIN AV,188 ST/ABERDEEN RD,HORACE HARDING EXP/64 AV,KISSENA BL/HORACE HARDING EP,KISSENA BL/HOLLY AV,KISSENA BL/SANFORD AV,39 AV/MAIN ST,KISSENA BL/ROSE AV,188 ST/HORACE HARDING EP,KISSENA BL/60 AV,188 ST/75 AV,HILLSIDE AV/169 ST,HORACE HARDING EXP/KISSENA BL,College Point Depot (CP)
HILLSIDE AV/172 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 JAMAICA MERRICK BL,,
188 ST/186 LA #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.944 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 ST/UNION TP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,0.23 FLUSHING MAIN ST STATION,,,
HORACE HARDING EXP/166 ST,,,,,,,1.609 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 ST/69 AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.744 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/FRESH MEADOW LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.811 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 ST/AVON RD,,,,,,,,,,,,,,0.224 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38 FLUSHING MAIN ST STATION,,,,,,,,,,,,
KISSENA BL/BEECH AV,,,,,,,,0.226 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERRICK BL/JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KISSENA BL/FRANKLIN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115 JAMAICA MERRICK BL,,,,,,,,,,,,,,,
188 ST/ABERDEEN RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/64 AV,,,,,,,,,,,,,,,,,,,,,,0.272 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KISSENA BL/HORACE HARDING EP,,,,0.658 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KISSENA BL/HOLLY AV,,,,,,,,,,,,,,,,,,,,,0.298 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,0.236 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KISSENA BL/SANFORD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.314 JAMAICA MERRICK BL,,,,,,1.364 FLUSHING MAIN ST STATION,,,,,,,
39 AV/MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.357 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,8.974 to depot of Q17
KISSENA BL/ROSE AV,,,,,,,,,,,,,,,,,0.172 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,0.425 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 ST/HORACE HARDING EP,,,,,,,,,,,0.51 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KISSENA BL/60 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076 JAMAICA MERRICK BL,
188 ST/75 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226 FLUSHING MAIN ST STATION,,,,,,,,,,0.23 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/169 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.608 JAMAICA MERRICK BL,,0.355 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/KISSENA BL,,,,,,,,,,,,,,,,,,,,,,,,,,,2.199 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Point Depot (CP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.513 FLUSHING MAIN ST STATION,,,,,,,
