,49 ST/14 AV,50 ST/7 AV,BEDFORD AV/AV I,GLENWOOD RD/FLATBUSH AV,53 ST/1 AV,50 ST/14 AV,AV I/MC DONALD AV,AV I/E 3 ST,BEDFORD AV/CAMPUS RD,AV J/E 15 ST,53 ST/2 AV,49 ST/13 AV,49 ST/6 AV,50 ST/8 AV,BEDFORD AV/CAMPUS ROAD,50 ST/5 AV,50 ST/NEW UTRECHT AV,49 ST/10 AV,CONEY ISLAND AV/AV I,AV I/OCEAN PY,50 ST/6 AV,49 ST/4 AV,50 ST/FT HAMILTON PY,50 ST/17 AV,BEDFORD AV/AV J,AV I/E 9 ST,AV J/CONEY ISLAND AV,49 ST/18 AV,49 ST/5 AV,50 ST/9 AV,2 AV/56 ST,AV J/E 16 ST,GLENWOOD RD/BEDFORD AV,1 AV / 56 ST,50 ST/11 AV,50 ST/4 AV,BEDFORD AV/GLENWOOD RD,52 ST/4 AV,49 ST/16 AV,55 ST/4 AV,50 ST/18 AV,GLENWOOD RD/AMERSFORT PL,50 ST/13 AV,50 ST/10 AV,NOSTRAND AV/FLATBUSH AV,58 ST/1 AV,49 ST/9 AV,49 ST/11 AV,4 AV/53 ST,49 ST/NEW UTRECHT AV,49 ST/15 AV,FLATBUSH AV/E 31 ST,AV J/E 23 ST,55 ST/3 AV,52 ST/3 AV,18 AV/47 ST,50 ST/16 AV,AV I/E 7 ST,AV I/CONEY ISLAND AV,50 ST/15 AV,49 ST/8 AV,AV J/OCEAN AV,49 ST/7 AV,52 ST/2 AV,49 ST/17 AV,50 ST/20 AV,PARKVILLE AV/MCDONALD AV,55 ST/2 AV,AV J/E 18 ST,50 ST/19 AV,AV J/E 22 ST,Jackie Gleason Depot (JG)
49 ST/4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.357 SUNSET PARK 1 AV-58 ST,,,,,,,,,,,,,,,,,,,,,,,
50 ST/FT HAMILTON PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.977 MIDWOOD FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 ST/17 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223 MIDWOOD FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/AV J,,,10.796 MIDWOOD FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 SUNSET PARK 1 AV-58 ST,,,,,,,,,,,,,,,,,,,
AV I/E 9 ST,,,,,,,,,,,,,,,,,,,1.237 MIDWOOD FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 SUNSET PARK 1 AV-58 ST,,,,,,,,,,,,,,
AV J/CONEY ISLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.395 MIDWOOD FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,1.263 SUNSET PARK 1 AV-58 ST,,,,,,,,,,,,,
49 ST/18 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256 SUNSET PARK 1 AV-58 ST,,,,,,,
49 ST/5 AV,,,,,,,,,,,,,,,,,,,,,,18.355 SUNSET PARK 1 AV-58 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 ST/9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433 MIDWOOD FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/56 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.658 MIDWOOD FLATBUSH AV,,,,,,,,
