,LINDEN BL/SHEPHERD AV,PENNSYLVANIA AV/NEW LOTS AV,BROADWAY/COOPER ST,COVERT ST/WYCKOFF AV,SUMMERFIELD ST/CYPRESS AV,SCHAEFER ST/WILSON AV,POSTAL FACILITY RD/IN FRONT OF FACILITY,PENNSYLVANIA AV/PITKIN AV,FRESH POND RD/MYRTLE AV,PUTNAM AV/FOREST AV,SUMMERFIELD ST/MYRTLE AV,BROADWAY/ROCKAWAY AV,WORTMAN AV/VERMONT ST,JAMAICA AV/FANCHON PL,LINDEN BL/EUCLID AV,ASHFORD ST/LINDEN BL,JAMAICA AV/BROADWAY,DECATUR ST/CENTRAL AV,LINDEN BL/AUTUMN AV,BROADWAY/CHAUNCEY ST,DECATUR ST/MYRTLE AV,SCHAEFER ST/CENTRAL AV,BROADWAY/GRANITE ST,WORTMAN AV/SCHENCK AV,SCHAEFER ST/KNICKERBOCKER AV,PENNSYLVANIA AV/HEGEMAN AV,PENNSYLVANIA AV/ATLANTIC AV,DECATUR ST/BUSHWICK AV,PENNSYLVANIA AV/LIBERTY AV,LINDEN BL/CRESCENT ST,WORTMAN AV/PENNSYLVANIA AV,SUMMERFIELD ST/SENECA AV,PENNSYLVANIA AV/LIVONIA AV,ELDERT LA/LINDEN BL,STANLEY AV/ELDERT LA,LINDEN BL/ATKINS AV,WORTMAN AV/BARBEY ST,BROADWAY/ABERDEEN ST,SUMMERFIELD ST/WYCKOFF AV,DECATUR ST/IRVING AV,VAN SINDEREN AV/BROADWAY,PUTNAM AV/FRESH POND RD,LINDEN BL/SHERIDAN AV,SCHAEFER ST/BUSHWICK AV,DECATUR ST/CYPRESS AV,VAN SINDEREN AV/FULTON ST,PENNSYLVANIA AV/WORTMAN AV,DECATUR ST/FOREST AV,PENNSYLVANIA AV/BELMONT AV,PENNSYLVANIA AV/STANLEY AV,WORTMAN AV/VAN SICLEN AV,SUMMERFIELD ST/FOREST AV,BROADWAY/HULL ST,DECATUR ST/SENECA AV,STANLEY AV/SHERIDAN AV,DECATUR ST/KNICKERBOCKER AV,FULTON ST/SHEFFIELD AV,LINDEN BL/ESSEX ST,DECATUR ST/WYCKOFF AV,PENNSYLVANIA AV/LINDEN BL,PENNSYLVANIA AV/RIVERDALE AV,IRVING AV/COVERT ST,67 AV/FRESH POND RD,ASHFORD ST/WORTMAN AV,DECATUR ST/WILSON AV,ELDERT LA/LORING AV,FRESH POND RD/70 AV,ASHFORD ST/STANLEY AV,PUTNAM AV/FAIRVIEW AV,FULTON ST/ALABAMA AV,PENNSYLVANIA AV/BLAKE AV,67 AV/60 ST,PENNSYLVANIA AV/SUTTER AV,SCHAEFER ST/BROADWAY,LINDEN BL/ELDERT LA,WORTMAN AV/JEROME ST,DECATUR ST/EVERGREEN AV,PENNSYLVANIA AV/DUMONT AV,BROADWAY/EASTERN PY,FRESH POND RD/68 AV,SCHAEFER ST/EVERGREEN AV,LINDEN BL/LOGAN ST,FRESH POND RD/CATALPA AV,Jackie Gleason Depot (JG)
WORTMAN AV/VERMONT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151 RIDGEWOOD FOREST AV,,,,0.293 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/FANCHON PL,,,,,,,,,,,,,,,,,0.194 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/EUCLID AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.076 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09 RIDGEWOOD FOREST AV,,
ASHFORD ST/LINDEN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.398 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,0.154 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,
JAMAICA AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECATUR ST/CENTRAL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,,,,
LINDEN BL/AUTUMN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84 RIDGEWOOD FOREST AV,,,,0.295 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/CHAUNCEY ST,,,0.157 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,,,,,0.16 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECATUR ST/MYRTLE AV,,,,,,,,,0.129 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHAEFER ST/CENTRAL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 SPRING CREEK STANLEY AV POSTAL FAC,,,
BROADWAY/GRANITE ST,,,,,,,,,,,,,,,,,,,,0.16 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORTMAN AV/SCHENCK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,
SCHAEFER ST/KNICKERBOCKER AV,,,,,,0.204 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
