,SHORE BL/NEPTUNE AV,WEST END AV/ORIENTAL BL,OCEAN AV/AV Y,OCEAN AV/KINGS HY,BEDFORD AV/MONTGOMERY ST,ORIENTAL BL/FALMOUTH ST,ROGERS AV/LENOX RD,BEDFORD AV/DEAN ST,SHEEPSHEAD BAY RD/EMMONS AV,ROGERS AV/EASTERN PY,E 16 ST/SHEEPSHEAD BAY RD,FRANKLIN AV/LEFFERTS PL,OCEAN AV/AV U,OCEAN AV/AV V,ROGERS AV/AV D,BEDFORD AV/STERLING PL,SHORE BL/EMMONS AV,BEDFORD AV/EMPIRE BL,ROGERS AV/ST MARKS AV,BEDFORD AV/WINTHROP ST,OCEAN AV/AV R,ROGERS AV/CHURCH AV,AV Z/E 15 ST,BEDFORD AV/PARKSIDE AV,ORIENTAL BL/DOVER ST,ORIENTAL BL/MACKENZIE ST,OCEAN AV/FARRAGUT RD,BEDFORD AV/LENOX RD,BEDFORD AV/CHURCH AV,BEDFORD AV/LINDEN BL,BEDFORD AV/PRESIDENT ST,BEDFORD AV/CLARENDON RD,BEDFORD AV/ATLANTIC AV,WEST END AV/OCEAN VIEW AV,OCEAN AV/AV X,OCEAN AV/AV T,BEDFORD AV/CLARKSON AV,OCEAN AV/AV L,FOSTER AV/OCEAN AV,ORIENTAL BL/OCEAN AV,ROGERS AV/WINTHROP ST,ROGERS AV/MONTGOMERY ST,OCEAN AV/AV J,OCEAN AV/AV N,ROGERS AV/CLARENDON RD,OCEAN AV/AV Z,BEDFORD AV/BEVERLEY RD,BEDFORD AV/LEFFERTS AV,BEDFORD AV/CARROLL ST,FOSTER AV/FLATBUSH AV,BEDFORD AV/MAPLE ST,ORIENTAL BL/BEAUMONT ST (LTD - DOES NOT STOP),BEDFORD AV/BERGEN ST,AV Z/E 19 ST,SHEEPSHEAD BAY RD/SHORE PKY,ROGERS AV/FOSTER AV,FULTON ST/BEDFORD AV,ROGERS AV/ST JOHNS PL,BEDFORD AV/AV D,OCEAN AV/AV P,DEAN ST/BEDFORD AV,OCEAN AV/AV M,OCEAN AV/AV I,OCEAN AV/GLENWOOD RD,ROGERS AV/CLARKSON AV,BEDFORD AV/EASTERN PY,VOORHIES AV/E 14 ST,BEDFORD AV/ST JOHNS PL,BEDFORD AV/SNYDER AV,SHEEPSHEAD BAY RD/VOORHIES AV,OCEAN AV/FOSTER AV,ORIENTAL BL/BEAUMONT ST,ORIENTAL BL/JAFFRAY ST,E 14 ST/SHEEPSHEAD BAY RD,OCEAN AV/AV W,ROGERS AV/LINDEN BL,ROGERS AV/ALBERMARLE RD,OCEAN AV/AV O,ORIENTAL BL/HASTINGS ST,ROGERS AV/BEVERLEY RD,OCEAN AV/AV S,OCEAN AV/QUENTIN RD,FOSTER AV/E 22 ST,BEDFORD AV/TILDEN AV,ORIENTAL BL/WEST END AV,OCEAN AV/AV K,DEAN ST/FRANKLIN AV,MACENZIE LOOP (LAST STOP),ROGERS AV/CARROLL ST,ROGERS AV/TILDEN AV,ROGERS AV/FENIMORE ST,ORIENTAL BL/KENSINGTON ST,ROGERS AV/LINCOLN RD,BEDFORD AV/PROSPECT PL,WEST END AV/SHORE BL,FRANKLIN AV/ATLANTIC AV,ROGERS AV/MIDWOOD ST,FOSTER AV/BEDFORD AV,EMMONS AV/E 16 ST,AV Z/E 18 ST,ROGERS AV/PARK PL,SHORE PKY NS/SHEEPSHEAD BAY RD,ROGERS AV/PRESIDENT ST,OCEAN AV/AV H,BEDFORD AV/RUTLAND RD,ROGERS AV/EMPIRE BL,WEST END AV/HAMPTON AV,Jackie Gleason Depot (JG)
FRANKLIN AV/LEFFERTS PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,
OCEAN AV/AV U,,,,,,,,,,,,,,0.88 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,0.925 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/AV V,,,,,,,,,,,,,0.278 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.673 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGERS AV/AV D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/STERLING PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.101 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHORE BL/EMMONS AV,,,,,,,,,0.331 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/EMPIRE BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGERS AV/ST MARKS AV,,,,,,,,0.19 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/WINTHROP ST,,,,,,,,,,,,,,,,,,,,,,,,0.094 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/AV R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99 MANHATTAN BCH KINGSBORO CC via BEDFORD,0.243 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGERS AV/CHURCH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV Z/E 15 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/PARKSIDE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.092 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIENTAL BL/DOVER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIENTAL BL/MACKENZIE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/FARRAGUT RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/LENOX RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/CHURCH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/LINDEN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/PRESIDENT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.101 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/CLARENDON RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST END AV/OCEAN VIEW AV,,0.263 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/AV X,,,0.213 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.892 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/AV T,,,,,,,,,,,,,0.498 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.528 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/CLARKSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/AV L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.134 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,0.995 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,
FOSTER AV/OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,
ORIENTAL BL/OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGERS AV/WINTHROP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,
ROGERS AV/MONTGOMERY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,
OCEAN AV/AV J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.978 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,0.267 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/AV N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,1.007 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGERS AV/CLARENDON RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/AV Z,,,0.918 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.661 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,
BEDFORD AV/BEVERLEY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/LEFFERTS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/CARROLL ST,,,,,0.203 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER AV/FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/MAPLE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,
ORIENTAL BL/BEAUMONT ST (LTD - DOES NOT STOP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/BERGEN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,
AV Z/E 19 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHEEPSHEAD BAY RD/SHORE PKY,,,,,,,,,0.106 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGERS AV/FOSTER AV,,,,,,,,,,,,,,,0.298 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/BEDFORD AV,,,,,,,,,,,,0.538 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGERS AV/ST JOHNS PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,
BEDFORD AV/AV D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,
OCEAN AV/AV P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAN ST/BEDFORD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/AV M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.988 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,1.182 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/AV I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.013 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.084 BED-STUY FULTON ST via OCEAN via ROGERS,,,,
OCEAN AV/GLENWOOD RD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285 BED-STUY FULTON ST via OCEAN via ROGERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306 MANHATTAN BCH KINGSBORO CC via BEDFORD,,,,
