,FLUSHING AV/GERRY ST,MILL ST/CLINTON ST,SMITH ST/ATLANTIC AV,SMITH ST/LIVINGSTON ST,COURT ST/W 9 ST,61 ST/GRAND AV,COURT ST/SCHERMERHORN ST,FLUSHING AV/CYPRESS AV,OTSEGO ST/LORRAINE ST,SMITH ST/W 9 ST,FLUSHING AV/MARCY AV,NASSAU ST/GOLD ST,FLUSHING AV/CUMBERLAND ST,LORRAINE ST/HICKS ST,FLUSHING AV/WILSON AV,LORRAINE ST/CLINTON ST,TILLARY ST/JAY ST,COURT ST/LORRAINE ST,FLUSHING AV/ONDERONK AV,FLUSHING AV/60 ST,COURT ST/SACKETT ST,FLUSHING AV/STEUBEN ST,FLUSHING AV/WOODWARD AV,CLINTON ST/LORRAINE ST,FLUSHING AV/MORGAN AV,COURT ST/HAMILTON AV,FLUSHING AV/RYERSON ST,FLUSHING AV/METROPOLITAN AV,SMITH ST/UNION ST,FLUSHING AV/61 ST,LORRAINE ST/OTSEGO ST,COURT ST/PRESIDENT ST,FLUSHING AV/KNICKERBOCKER AV,FLUSHING AV/ONDERDONK AV,SMITH ST/ NELSON ST,COURT ST/NELSON ST,FLUSHING AV/WASHINGTON AV,FLUSHING AV/VANDERBILT AV,DWIGHT ST/VAN DYKE ST,FLUSHING AV/HUMBOLDT ST,LORRAINE ST/HENRY ST,SMITH ST/BERGEN ST,FLUSHING AV/THORNTON ST,FLUSHING AV/NOSTRAND AV,FLUSHING AV/N PORTLAND AV,GRAND AV/64 ST,NAVY ST/SANDS ST,FLUSHING AV/CLASSON AV,FLUSHING AV/THROOP AV,LORRAINE ST/COLUMBIA ST,COURT ST/WARREN ST,JAY ST/TILLARY ST,FLUSHING AV/KENT  AV,FLUSHING AV/WYCKOFF AV,FLUSHING AV/BROADWAY,SMITH ST/DOUGLASS ST,FLUSHING AV/LEE AV,FLUSHING AV/MELROSE ST,COURT ST/KANE ST,JAY ST/FULTON ST,FLUSHING AV/BEAVER ST,FLUSHING AV/TROUTMAN ST,SMITH ST/2 ST,FLUSHING AV/58 DR,FLUSHING AV/EVERGREEN AV,COURT ST/3 PL,SMITH ST/WARREN ST,FLUSHING AV/NAVY ST,FLUSHING AV/TOMPKINS AV,FLUSHING AV/BUSHWICK AV,FLUSHING AV/FRANKLIN AV,FLUSHING AV/JOHNSON AV,BEARD ST/OTSEGO ST,FLUSHING AV/HARRISON PL,DWIGHT ST/DIKEMAN ST,FLUSHING AV / CLERMONT AV,FLUSHING AV/THAMES ST,FLUSHING AV/BEDFORD AV,GOLD ST/SANDS ST,COURT ST/1 PL,FLUSHING AV/54 ST,JAY ST/WILLOUGHBY ST,COURT ST/ATLANTIC AV,JAY ST/FULTON  ST,SMITH ST/5 ST,COURT ST/AMITY ST,FLUSHING AV/HARRISON AV,GOLD ST/TILLARY ST,Jackie Gleason Depot (JG)
FLUSHING AV/WILSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORRAINE ST/CLINTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILLARY ST/JAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348 MASPETH FRESH POND RD,
COURT ST/LORRAINE ST,,,,,,,,,,,,,,,,0.181 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/ONDERONK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,
FLUSHING AV/60 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURT ST/SACKETT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/STEUBEN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/WOODWARD AV,,,,,,,,,,,,,,,,,,,0.19 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLINTON ST/LORRAINE ST,,0.231 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/MORGAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,
COURT ST/HAMILTON AV,,,,,,,,,,,,,,,,,,0.139 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/RYERSON ST,,,,,,,,,,,,,,,,,,,,,,1.077 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/METROPOLITAN AV,,,,,,,,,,,,,,,,,,,,,,,0.265 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283 MASPETH FRESH POND RD,,,,,,,,
SMITH ST/UNION ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/61 ST,,,,,,0.134 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,
LORRAINE ST/OTSEGO ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,
COURT ST/PRESIDENT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 RED HOOK IKEA TERMINAL,,,,,,,,,
FLUSHING AV/KNICKERBOCKER AV,,,,,,,,,,,,,,,,,,,,,,,,,0.227 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/ONDERDONK AV,,,,,,,,,,,,,,,,,,,,,,,0.159 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMITH ST/ NELSON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 MASPETH FRESH POND RD,,,,
COURT ST/NELSON ST,,,,,0.153 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/WASHINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.734 MASPETH FRESH POND RD,,,,,,,,,,,0.669 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/VANDERBILT AV,,,,,,,,,,,,,0.348 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWIGHT ST/VAN DYKE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,
FLUSHING AV/HUMBOLDT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORRAINE ST/HENRY ST,,,,,,,,,,,,,,0.141 RED HOOK IKEA TERMINAL,,,,,,,,,,0.165 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMITH ST/BERGEN ST,,,0.236 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/THORNTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259 RED HOOK IKEA TERMINAL,,
FLUSHING AV/NOSTRAND AV,,,,,,,,,,,0.277 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/N PORTLAND AV,,,,,,,,,,,,,0.175 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/64 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAVY ST/SANDS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209 RED HOOK IKEA TERMINAL,,,,,,,,,,
FLUSHING AV/CLASSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,
FLUSHING AV/THROOP AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORRAINE ST/COLUMBIA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 RED HOOK IKEA TERMINAL,,,,,,,,,,0.299 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURT ST/WARREN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAY ST/TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426 RED HOOK IKEA TERMINAL,,,,,,,
FLUSHING AV/KENT  AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/WYCKOFF AV,,,,,,,,0.294 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMITH ST/DOUGLASS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/LEE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273 RED HOOK IKEA TERMINAL,,,,,,,,,,,
FLUSHING AV/MELROSE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURT ST/KANE ST,,,,,,,,,,,,,,,,,,,,,0.281 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAY ST/FULTON ST,,,,0.119 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/BEAVER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,
FLUSHING AV/TROUTMAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMITH ST/2 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/58 DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.751 RED HOOK IKEA TERMINAL,,,,,,,,
FLUSHING AV/EVERGREEN AV,,,,,,,,,,,,,,,0.292 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,
COURT ST/3 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMITH ST/WARREN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/NAVY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/TOMPKINS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/BUSHWICK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,0.274 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/FRANKLIN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.675 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,0.626 MASPETH FRESH POND RD,,,,,,,,,,,
FLUSHING AV/JOHNSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,
BEARD ST/OTSEGO ST,,,,,,,,,0.348 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/HARRISON PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 RED HOOK IKEA TERMINAL,,,,,,,,,,,,
DWIGHT ST/DIKEMAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV / CLERMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.764 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/THAMES ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/BEDFORD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,
GOLD ST/SANDS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.421 RED HOOK IKEA TERMINAL,
COURT ST/1 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/54 ST,,,,,,,,,,,,,,,,,,,,1.254 MASPETH FRESH POND RD,,,,,,,,0.276 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAY ST/WILLOUGHBY ST,,,,,,,,,,,,,,,,,0.426 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURT ST/ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 RED HOOK IKEA TERMINAL,,,
JAY ST/FULTON  ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086 MASPETH FRESH POND RD,,,,,,,
SMITH ST/5 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 MASPETH FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,
COURT ST/AMITY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/HARRISON AV,0.2 RED HOOK IKEA TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
